address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
223 EAST 119 STREET,,NY,10035,40.7996591519259,-73.93748536521548,community garden,New York Garden Trust / New York Restoration Project,private,1017840011,0.062399219467511857
1036 FLUSHING AVENUE,,NY,11237,40.704163135423286,-73.9295509460976,community garden,Brooklyn Queens Land Trust,private,3031550020,0.051931359045087431
76 WEST 105 STREET,,,10025,40.79820611492196,-73.963119543327,community garden,Manhattan Land Trust,private,,0.140478650137989975
632 EAST 9 STREET,,,10009,40.72529231520975,-73.97864888954362,community garden,New York City Department of Parks and Recreation,public,,0.668704315887319012
509 LA GUARDIA PLACE,,NY,10012,40.72758317488968,-73.99873687327401,community garden,New York City Department of Transportation,public,1005240009,0.388735766759182871
427 EAST 157 STREET,,NY,10451,40.82155860315013,-73.914124179965,community garden,New York City Department of Parks and Recreation,public,2023790030,0.116055325987349819
316 LINCOLN ROAD,,NY,11225,40.661233149360484,-73.95225246780306,community garden,New York City Department of Parks and Recreation,public,3050300023,0.063012855831149308
20 LINCOLN PLACE,,NY,11217,40.6771897583857,-73.97896130785719,community garden,Brooklyn Queens Land Trust,private,3009500016,0.068380394857788755
178 STREET,,NY,11434,40.69263100495232,-73.77027077057751,community garden,New York Garden Trust / New York Restoration Project,private,4124010040,0.012930440771372775
1327 BROADWAY,,NY,10001,40.69057344509665,-73.92271724105113,community garden,MR. BIGS ADI REALTY CORP.,private,3033210052,0.930371671259683513
120 AVENUE,,,11434,40.68352142070001,-73.7738966647401,community garden,New York City Department of Parks and Recreation,public,,0.085809458218701182
326 PLEASANT AVENUE,,NY,10035,40.796078130628686,-73.93204725684176,community garden,New York Garden Trust / New York Restoration Project,private,1017160050,0.045294306703477874
219 34 STREET,,NY,11232,40.65479957378014,-74.00176096110947,community garden,SUNSET GARDEN LLC,private,3006850053,0.039396005509711683
501 AMSTERDAM AVENUE,,NY,10024,40.786051593653504,-73.97433845534839,community garden,New York City Department of Education,public,1012150001,2.711457988985520957
25 RUTGERS STREET,,NY,10002,40.71300814834913,-73.9898222184082,community garden,Manhattan Land Trust,private,1002710063,0.051529384756748794
499 WEST 150 STREET,,NY,10031,40.82879827213263,-73.94565053563255,community garden,New York Garden Trust / New York Restoration Project,private,1020820127,0.033777089072603471
88 MADISON STREET,,,11216,40.68392256656328,-73.95549207912914,community garden,New York City Department of Parks and Recreation,public,,0.080632001836690171
974 MADISON STREET,,NY,11221,40.68882435159774,-73.91885107963351,community garden,New York Garden Trust / New York Restoration Project,private,3033660023,0.045048898071705171
564 WEST 149 STREET,,NY,10031,40.82853287121545,-73.9481255699973,community garden,New York Garden Trust / New York Restoration Project,private,1020800058,0.078449954086456736
595 FDR Drive,,NY,10002,40.71829096799993,-73.97590582725054,community garden,New York City Housing Authority (NYCHA),public,6000010003,0.004421946740136394
NORTHERN BOULEVARD,,NY,11368,40.757764073463576,-73.85765343203197,community garden,Brooklyn Queens Land Trust,private,4017260014,0.043017217630930221
42 ROGERS AVENUE,,NY,11216,40.675224519409475,-73.95307453981049,community garden,Brooklyn Queens Land Trust,private,3012250010,0.072008494031348903
1021 MANOR AVENUE,,NY,10472,40.824671443248945,-73.87567749725082,community garden,Bronx Land Trust,private,2037160059,0.058733011937661467
315 WEST 47 STREET,,NY,10036,40.76109430604171,-73.98811366509435,community garden,SALVATION ARMY,private,1010380023,0.233870523416392380
HENRY STREET,,NY,10002,40.71413884456826,-73.98467254371947,community garden,New York City Administration of Children's Services,public,1002880076,0.150886134068219620
MACKINTOSH STREET,,NY,11369,40.76408334806837,-73.86952471992909,community garden,Brooklyn Queens Land Trust,private,4016500002,0.073505280073592143
10856 UNION HALL STREET,,,11433,40.6946339859893,-73.79133960167702,community garden,New York City Department of Parks and Recreation,public,,0.094886593204943162
130 LIBERTY AVENUE,,NY,11212,40.67286803706169,-73.90532717956718,community garden,New York Garden Trust / New York Restoration Project,private,3036940016,0.111635904499738682
118-18 MERRICK BOULEVARD,,,11434,40.68615669786686,-73.77417301207714,community garden,Brooklyn Queens Land Trust,private,,0.088787419651213346
927 FAILE STREET,,NY,10474,40.821509667083156,-73.88964682485475,community garden,New York Garden Trust / New York Restoration Project,private,2027460053,0.245462350780967558
180 BROOK AVENUE,,NY,10454,40.80589206664055,-73.91927381934212,community garden,New York City Housing Authority (NYCHA),public,2022630019,4.735803948585067694
194 EAST 3 STREET,,,10009,40.72265261958074,-73.98352769685692,community garden,New York City Department of Parks and Recreation,public,,0.114805785124170378
1685 MADISON AVENUE,,,10029,40.797053731783606,-73.94668465750966,community garden,New York City Department of Housing Preservation and Development,public,,0.091819788797224229
WEST 147 STREET,,NY,10031,40.827507904333274,-73.94838674177892,community garden,Manhattan Land Trust,private,1020790011,0.043261707989057376
11 TODT HILL ROAD,,,10314,40.612949091486406,-74.11868928853458,community garden,UNITED BRETHRENS CHURCH,private,,0.918672635446990606
455 WEST 162 STREET,,,10032,40.83576605405114,-73.93911632116631,community garden,New York City Department of Parks and Recreation,public,,0.099639118457476836
OGDEN AVENUE,,,10452,40.84053056946279,-73.92542550625434,community garden,New York City Department of Parks and Recreation,public,,0.276253673095071707
STUYVESANT AVENUE,,NY,11221,40.68245745286457,-73.93225999190628,community garden,MT LEBANON BAPTIST CHURCH,private,3016700051,0.045295454545534809
724 COURTLANDT AVENUE,,NY,10451,40.8208623207619,-73.91728392339456,community garden,New York Garden Trust / New York Restoration Project,private,2024020004,0.057964876033160565
360 EAST 151 STREET,,NY,10455,40.81761421963961,-73.91847174970582,community garden,Bronx Land Trust,private,2023970013,0.137327823691703400
112 WEST 123 STREET,,,10027,40.80665986089077,-73.94747607381507,community garden,New York City Department of Parks and Recreation,public,,0.140444444444693312
954 HOE AVENUE,,,10459,40.82264006108036,-73.89009617360522,community garden,New York City Department of Parks and Recreation,public,,0.217432506887437632
154 TOMPKINS AVENUE,,NY,11206,40.693863160239935,-73.94630647636208,community garden,WILLOUGHBY-TOMPKINS LTD,private,3017670040,0.059317033976229995
599 DRIGGS AVENUE,,NY,11211,40.715893846834675,-73.95735129881481,community garden,Brooklyn Queens Land Trust,private,3023370001,0.038805096418801545
2176 FULTON STREET,,NY,11233,40.67796083503772,-73.90949072412992,community green space,FULTON PLAZA REDEVELOPMENT ASSOCIATES L.P.,private,3015520021,0.187616161616494072
505 WEST 52 STREET,,NY,10019,40.766309580581854,-73.99122482305066,community garden,New York City Department of Parks and Recreation,public,1010810026,0.122247704316102757
346 E 4 ST,,,10009,40.721319278527545,-73.97845428433341,community garden,New York City Department of Parks and Recreation,public,,0.329641643710409653
277 WEST 122 STREET,,,10027,40.808217523392294,-73.95204127534409,community garden,New York City Department of Parks and Recreation,public,,0.051930670339853270
112 SCHERMERHORN STREET,,NY,11201,40.6900031589522,-73.98936481818667,community garden,NEW YORK QUARTERLY MEETING OF THE RELIGIOUS SOCIETY OF FRIENDS,private,3001690009,0.411079430671068194
545 EAST 139 STREET,,,10454,40.80796078121201,-73.91749460238678,community garden,New York City Department of Parks and Recreation,public,,0.250544765840664351
869 EAGLE AVENUE,,NY,10456,40.82204561797188,-73.90876107207171,community garden,Bronx Land Trust,private,2026190018,0.247716712580787898
220 EAST 119 STREET,,,10035,40.79926634456518,-73.9377316965246,community garden,Manhattan Land Trust,private,,0.094911616161784345
1105 FOX STREET,,,10459,40.82674145015499,-73.89416656076519,community garden,New York Garden Trust / New York Restoration Project,private,,0.307190312213583827
EAST 4 STREET,,,10009,40.721813116319495,-73.97962897780486,community garden,Manhattan Land Trust,private,,0.126024334251830294
49 PATCHEN AVENUE,,NY,11221,40.69073403578599,-73.927321676975,community garden,Brooklyn Queens Land Trust,private,3016230004,0.052912534435355469
238 EAST 2 STREET,,,10009,40.72165930733105,-73.98197847787432,community garden,New York City Department of Parks and Recreation,public,,0.122749540863394739
VAN NOSTRAND COURT,,NY,11362,40.77080426781701,-73.73403087562174,community garden,New York Garden Trust / New York Restoration Project,private,4082610081,0.101324609733880190
BROADWAY,,,10001,40.69179523904861,-73.92558244421478,community garden,Brooklyn Queens Land Trust,private,,0.162558080808368861
390 SOUTH 4 STREET,,,11211,40.7078122732001,-73.95234123805315,community garden,New York City Department of Citywide Administrative Services,public,,0.102527777777959457
21 HUNTERFLY PLACE,,,11233,40.67760615928785,-73.92805760500977,community garden,New York City Department of Parks and Recreation,public,,0.063671946740241385
Northwest corner of Hicks and Poplar Streets,,NY,11201,40.70129341192602,-73.99311120928208,community garden,New York City Department of Transportation,public,6000030005,0.044613636363715419
335 VAN SICLEN AVENUE,,NY,11207,40.6716507985519,-73.88976056011589,community garden,New York City Department of Citywide Administrative Services,public,3040100001,0.154625573921302463
252 ST MARKS AVENUE,,,11238,40.67807188050707,-73.96765262041832,community garden,BROOKLYN ALLIANCE OF NEIGHBORHOOD GARDENS (BANG) LAND TRUST,private,,0.211200642791926130
383 EAST 159 STREET,,,10451,40.823320318182695,-73.91498692453843,community garden,New York City Department of Parks and Recreation,public,,0.173702479339150776
ST JOHNS PLACE,,NY,11233,40.66989094029655,-73.9230009906946,community garden,Brooklyn Queens Land Trust,private,3013870040,0.079633608815568108
65 WEST 128 STREET,,,10027,40.80959517557535,-73.94291438746033,community garden,"REV. LINNETTE C. WILLIAMSON MEMORIAL PARK ASSOCIATION, INC",private,,0.109938705234354591
1272 SHAKESPEARE AVENUE,,,10452,40.83896404547969,-73.92240649685264,community garden,Bronx Land Trust,private,,0.271735766758975547
437-39 EAST 114 STREET,,,10029,40.79429144856212,-73.93440834808108,community garden,New York City Department of Parks and Recreation,public,,0.237557621671678987
2601 TILDEN AVENUE,,NY,11226,40.64700512973996,-73.95250618637988,community garden,Brooklyn Queens Land Trust,private,3051280070,0.166712580349239400
237 EAST 7 STREET,,,10009,40.72409458697755,-73.97840326495147,community garden,New York City Department of Parks and Recreation,public,,0.056508264462910050
414 6 AVENUE,,NY,10011,40.66895320376483,-73.98354450642842,community garden,PARK SLOPE UNITED METHODIST CHURCH,private,3009990041,0.252231404959124640
91 SCHENECTADY AVENUE,,,11213,40.67625755360084,-73.93289321714951,community garden,New York Garden Trust / New York Restoration Project,private,,0.092389807162698150
REV JAMES A POLITE,,NY,10459,40.82339207271576,-73.89902890469658,community garden,New York City Department of Parks and Recreation,public,2026900135,0.035502066115765389
1410 WASHINGTON AVENUE,,NY,10456,40.836033968327676,-73.90318930149078,community garden,New York City Housing Authority (NYCHA),public,2029110001,4.897923324159275998
522 WEST 146 STREET,,NY,10031,40.826155937429476,-73.94829427041405,community garden,Manhattan Land Trust,private,1020770043,0.086453627181053104
673 SHEFFIELD AVENUE,,NY,11207,40.66067546931618,-73.89295907031418,community garden,Brooklyn Queens Land Trust,private,3042980065,0.086179292929445639
955 SHERMAN AVENUE,,NY,10456,40.828441496909946,-73.91928977699149,community garden,Bronx Land Trust,private,2024550037,0.110501606979075515
2 SPENCER PLACE,,NY,11216,40.6818287351495,-73.95487691311968,community garden,SPORT LP,private,3019990015,0.097247015610824296
432 LINCOLN ROAD,,NY,11225,40.661437231314004,-73.94892481670271,community garden,RC CH ST FRANCIS ASSI,private,3047910023,0.677173324151796829
335 MAPLE STREET,,NY,11225,40.6612543019677,-73.94996018063264,community garden,RC CH ST FRANCIS ASSI,private,3047910001,1.388876492197135102
1642 ST JOHNS PLACE,,NY,11233,40.669851487788776,-73.92344373351025,community garden,Brooklyn Queens Land Trust,private,3013870034,0.095127410468488125
119 TROY AVENUE,,NY,11213,40.67353062080291,-73.9345121383667,community garden,New York City Department of Parks and Recreation,public,3013530001,9.385513544552902939
207 ST MARKS AVENUE,,NY,11238,40.67892593855344,-73.96901247068092,community garden,Brooklyn Queens Land Trust,private,3011440063,0.075740587695267362
535 RALPH AVENUE,,,11233,40.67123589347167,-73.92198437104675,community garden,New York City Department of Parks and Recreation,public,,0.259472451791093394
SUFFOLK STREET,,NY,10002,40.720953749575614,-73.98479677766467,community garden,New York Garden Trust / New York Restoration Project,private,1003500005,0.052750000000093473
39 AVENUE,,NY,11104,40.749271674568256,-73.91464990877188,community garden,T G & T Co Trustee,private,4001230044,0.226831267218032799
2103 KENMORE TERRACE,,NY,11226,40.64939889238555,-73.95957684805968,community garden,REFORMED DUTCH CHURCH,private,3051020143,0.194241505969122892
992 OGDEN AVENUE,,,10452,40.832577647081756,-73.92902255674069,community garden,New York City Department of Parks and Recreation,public,,0.493821166208404895
ANDERSON AVENUE,,,10452,40.83283765406938,-73.92708012568828,community garden,New York Garden Trust / New York Restoration Project,private,,0.348020890726052873
415 E 117 ST,,,10035,40.796529277672725,-73.93396445662458,community garden,New York City Department of Parks and Recreation,public,,0.141306244261040110
978 GREENE AVENUE,,NY,11221,40.69076102264561,-73.92862013216194,community garden,Brooklyn Queens Land Trust,private,3016220032,0.059176538108461151
8 EAST 129 STREET,,,10035,40.80853323237952,-73.93997801788302,community garden,New York City Department of Parks and Recreation,public,,0.140029384756905616
178 EAST 111 STREET,,,10029,40.79486421700614,-73.94317952368428,community garden,New York Garden Trust / New York Restoration Project,private,,0.080470615243485110
346 ATLANTIC AVENUE,,NY,11217,40.68757915858553,-73.98736699295812,community garden,PRESBYTERY OF NEW YORK CITY,private,3001820027,0.103634756657667571
603 EAST 11 STREET,,NY,10009,40.72747911198477,-73.97900022599076,community garden,New York Garden Trust / New York Restoration Project,private,1003940067,0.040250229568482710
MONTEREY AVENUE,,,10457,40.847251876890915,-73.89443452515258,community garden,Bronx Land Trust,private,,0.417194214876772326
MAIN AVENUE,,,11102,40.77232811496846,-73.93213150074148,community garden,New York City Department of Parks and Recreation,public,,0.505127180900803258
660 NEW JERSEY AVENUE,,NY,11207,40.66295228425433,-73.89284449625087,community garden,"HPENY HOUSING DEVELOPMENT FUND COMPANY, INC.",private,3038400035,0.141036271809248998
EASTERN PARKWAY,,,11238,40.67034609870188,-73.9592440123931,community garden,New York City Department of Parks and Recreation,public,,0.437758494031997012
97 HERKIMER STREET,,NY,11216,40.67989905990957,-73.95016307646986,community garden,Brooklyn Queens Land Trust,private,3018600062,0.056598255280173754
635 EAST 137 STREET,,,10454,40.805392104985195,-73.9155912106982,community garden,New York City Department of Parks and Recreation,public,,0.259994260790176045
53-55 WEST 128 STREET,,,10027,40.809171703912476,-73.94231487941089,community garden,New York City Department of Parks and Recreation,public,,0.167421258035191069
613 HENDRIX STREET,,,11207,40.666578210151705,-73.88754596426183,community garden,New York City Department of Parks and Recreation,public,,0.119988062442820516
74 EAST 112 STREET,,,10029,40.796736677636645,-73.94556292578629,community garden,New York City Department of Housing Preservation and Development,public,,0.135688475665988833
747 ELTON AVENUE,,NY,10445,40.820561588406946,-73.91406145017854,community garden,156TH ST ASSOCIATES LLC,private,2023780031,0.047516988062526808
460 EAST 136 STREET,,,10454,40.80672050737342,-73.92185323977945,community garden,New York City Department of Parks and Recreation,public,,0.228353305785528609
ST MARKS PLACE,,,11217,40.68113631300311,-73.9793372973711,community garden,BROOKLYN ALLIANCE OF NEIGHBORHOOD GARDENS (BANG) LAND TRUST,private,,0.202909779614684625
GREENWICH STREET,,NY,10013,40.71709074141084,-74.01155332480297,community garden,Dormitory Authority of the State of New York,public,1001420030,2.154499081730172226
6 W 104 ST,,,10025,40.796888324154956,-73.96192679993436,community garden,New York City Department of Parks and Recreation,public,,0.317617539027192754
WEST 113 STREET,,NY,10025,40.80503661076397,-73.96342476213913,community garden,THE TRUSTEES OF COLUMBIA UNIVERSITY,private,1018840041,0.069054866850443761
123 WEST 89 STREET,,NY,10024,40.78928705687144,-73.97180245767211,community garden,"WEST SIDE COMMUNITY GARDEN, INC ",private,1012200017,0.422560835629766225
1233 PACIFIC STREET,,NY,11216,40.677979222767114,-73.9515565124052,community garden,Brooklyn Queens Land Trust,private,3012000070,0.131347337006660663
WESTERVELT AVENUE,,NY,10301,40.644304372593176,-74.0844964838964,community garden,New York Garden Trust / New York Restoration Project,private,5000310003,0.078921487603445634
325 WEST 126 STREET,,,10027,40.81142255983573,-73.95156940020148,community garden,New York City Department of Parks and Recreation,public,,0.087542699724673032
685 BECK STREET,,NY,10455,40.815076742777244,-73.90110389146521,community garden,Bronx Land Trust,private,2026850061,0.092080119375737087
88 WILLIAMS AVENUE,,NY,11207,40.67425773554774,-73.90062214990252,community garden,New York Garden Trust / New York Restoration Project,private,3036820050,0.058060146923886170
146 WOODBINE STREET,,NY,11221,40.69251344301338,-73.91639754706809,community garden,Brooklyn Queens Land Trust,private,3033590028,0.059324609733805766
195 WYCKOFF STREET,,,11217,40.68459773796217,-73.98665843137523,community garden,Wyckoff Bond Garden Trust,private,,0.090007116620912477
REV JAMES A POLITE,,NY,10459,40.83096282316562,-73.89405453774742,community garden,New York City Department of Parks and Recreation,public,2029650199,0.263360881543166400
RICHMOND TERRACE,,NY,10301,40.647178697718424,-74.08848290010624,,New York City Department of Parks and Recreation,public,5000020726,0.253971533517438100
RICHMOND TERRACE,,NY,10301,40.646477681011596,-74.08978609627194,,New York State Public Service Commission,public,5000040011,0.022933884297561300
RICHMOND TERRACE,,NY,10301,40.646557192532676,-74.0898999397146,,New York City Department of Small Business Services,public,5000040010,0.0
BANK STREET,,NY,10301,40.646737181625646,-74.08967281203132,,New York State Public Service Commission,public,5000040069,0.030303030303084000
RICHMOND TERRACE,,NY,10301,40.64669330194972,-74.08934412750406,,New York City Department of Parks and Recreation,public,5000040001,0.200000000000354400
DERBY COURT,,NY,10302,40.62970716897602,-74.13188429425111,,New York City Department of Citywide Administrative Services,public,5010390175,0.011593204775043500
RICHMOND TERRACE,,NY,0,40.64120335104711,-74.12147512230753,,New York City Department of Citywide Administrative Services,public,5001850135,0.300275482094196000
CHURCH STREET,,NY,10302,40.63900385288966,-74.13053805755162,,New York City Economic Development Corporation,public,5010060025,0.034733700642853100
MORNINGSTAR ROAD,,NY,10303,40.63554032716897,-74.14526355749405,,New York City Department of Citywide Administrative Services,public,5011250022,0.206060606060971200
MORNINGSTAR ROAD,,NY,10303,40.63546079634398,-74.14522477410341,,New York City Department of Small Business Services,public,5011250025,0.0
BURDEN AVENUE,,NY,10302,40.631532631659844,-74.13997315737076,,New York City Department of Citywide Administrative Services,public,5011020014,0.012167125803511000
BAYONNE COURT,,NY,10302,40.63848297019456,-74.14164176844936,,New York City Department of Small Business Services,public,5011160135,0.100229568411564200
DE HART AVENUE,,NY,10303,40.63400199773377,-74.157532254967,,New York City Department of Small Business Services,public,5012130133,0.148324150597140700
UNION AVENUE,,NY,10303,40.633722521452,-74.15783778538592,,New York City Department of Small Business Services,public,5012130020,0.0
DE HART AVENUE,,NY,10303,40.63371582015221,-74.1574255718153,,New York City Department of Small Business Services,public,5012130142,0.067493112947778000
WRIGHT AVENUE,,NY,10303,40.63421387681781,-74.15025037401612,,New York City Department of Small Business Services,public,5011590110,0.113865932047952000
LAKE AVENUE,,NY,10303,40.63420187957909,-74.15118275721044,,New York City Department of Small Business Services,public,5011600118,0.0
VAN NAME AVENUE,,NY,10303,40.63411806937474,-74.15416431606539,,New York City Department of Small Business Services,public,5011880120,0.0
HARBOR ROAD,,NY,10303,40.63389225119259,-74.16057388352253,,New York City Department of Small Business Services,public,5012360180,0.037832874196577600
RICHMOND TERRACE,,NY,10303,40.64055984026057,-74.17018754886081,,New York City Department of Citywide Administrative Services,public,5012720186,0.385674931130160000
SIMONSON AVENUE,,NY,10303,40.63417032720082,-74.15256632433262,,New York City Department of Small Business Services,public,5011860119,0.0
UNION AVENUE,,NY,10303,40.633669213232906,-74.15787503801107,,New York City Department of Small Business Services,public,5012130019,0.058723599632794600
DE HART AVENUE,,NY,10303,40.63404185724658,-74.15654148498297,,New York City Department of Small Business Services,public,5012120024,0.120569329660452400
HOLLAND AVENUE,,NY,10303,40.63771996604266,-74.17152346834175,,New York City Department of Small Business Services,public,5013180135,0.055096418732880000
FOREST AVENUE,,NY,10303,40.624511878936566,-74.1743234859525,,New York City Department of Parks and Recreation,public,5017170225,0.842539026631428700
FOREST AVENUE,,NY,10303,40.62411837477385,-74.1735036149418,,New York City Department of Parks and Recreation,public,5017170175,1.085123966944071600
FOREST AVENUE,,NY,10303,40.625431348807155,-74.17610762225196,,New York City Department of Parks and Recreation,public,5017170040,1.061753902664875000
338 EAST 117 STREET,,NY,10035,40.79677360185663,-73.9357186964034,,New York City Department of Citywide Administrative Services,public,1016880034,0.057920110192940100
204 EAST 124 STREET,,NY,10035,40.80261839657674,-73.93593262622538,,New York City Department of Citywide Administrative Services,public,1017880046,0.064279155188360000
329 EAST 109 STREET,,NY,10029,40.792200416419334,-73.93957958116998,,New York City Department of Health,public,1016810015,0.057920110192940100
580 HART STREET,,,11221,40.69712157132066,-73.9285101295887,,New York City Administration of Children's Services,public,,0.114758953168247430
ORIENT AVENUE,,NY,11211,40.71481036692607,-73.94033385973883,community green space,New York City Department of Parks and Recreation,public,3029120001,0.146923783287680000
153 NEVINS STREET,,NY,11217,40.68366861155329,-73.98400123932265,,New York City Department of Housing Preservation and Development,public,3003880001,0.264003673095050000
19 AVENUE,,NY,0,40.776611334251925,-73.89034007969936,,New York City Department of Citywide Administrative Services,public,4007540250,1.245867768597249000
SPRINGFIELD BLVD,,NY,11413,40.65968385619172,-73.76373589038849,,New York City Department of Parks and Recreation,public,4134280002,5.876951331507200000
315 ELDERT STREET,,NY,11237,40.69319750441157,-73.90707041987497,community garden,ALIANZA DE DAMAS UNID,private,3034130063,0.061983471074490000
237 MAPLE STREET,,NY,11225,40.6609103061593,-73.95278378748107,community garden,Germaine Kirton,private,3050300072,0.137741046832200000
115 ROGERS AVENUE,,NY,11216,40.67367708898655,-73.95283699035645,community garden,TYC REALTY INC,private,3012330001,0.039256198347177000
SPRING STREET,,NY,10012,40.72219062301365,-73.99475697086514,community green space,New York City Department of Citywide Administrative Services,public,1004930030,0.461662075299257000
222 5 AVENUE,,NY,11215,40.675849662593265,-73.9810860157013,community garden,BROOKLYN ALLIANCE OF NEIGHBORHOOD GARDENS (BANG) LAND TRUST,private,3009550049,0.045408631772348600
RAE STREET,,NY,10455,40.817495601785446,-73.91233026981354,,New York City Department of Education,public,2023590075,0.345798898072238100
EAST 150 STREET,,NY,10451,40.81943160244307,-73.92593107886911,,New York City Transit (MTA),public,2024430018,0.194559228650482500
454 WEST 35 STREET,,NY,10001,40.75478492945049,-73.99810631126363,community garden,CLINTON HOUSING WEST3,private,1007320068,0.182782369146329400
,,NY,,40.81955883997231,-73.92609227314303,,New York City Department of Transportation,public,6000020008,0.082883149678751093
26 NORTH 12 STREET,,NY,11249,40.724087769759436,-73.9603579044342,,New York City Department of Parks & Recreation - building,public,3022770001,7.344696969709984500
282 MOFFAT STREET,,NY,11207,40.69037738053024,-73.90332479867159,,"KINGS RE, LLC",private,3034480030,0.724816345272175100
658 SARATOGA AVENUE,,,11212,40.66476538413661,-73.91672711718068,community green space,New York City Department of Parks and Recreation,public,,0.109453627181093860
103 NEW LOTS AVENUE,,,11212,40.6579950296846,-73.90185356140137,community garden,New York City Department of Parks and Recreation,public,,0.065693755739326694
GATEWAY CENTER BLVD,,NY,10451,40.82598014508294,-73.93095525272543,,New York City Economic Development Corporation,public,2023570032,0.286432506887559900
106 LOCUST AVENUE,,NY,10454,40.79971027634857,-73.90872896438637,,New York City Department of Citywide Administrative Services,public,2025950001,2.136639118461086400
2286 CHURCH AVENUE,,NY,11226,40.65016190034967,-73.95626015272023,,New York City Department of Citywide Administrative Services,public,3051030058,0.665748393022300000
621 86 STREET,,NY,11209,40.62024884805144,-74.02349322372126,,New York City Department of Citywide Administrative Services,public,3060370102,0.107759412305057800
,,NY,,40.76730766810005,-73.94463975551972,community garden,Roosevelt Island Operating Corporation (on behalf of New York State),public,6000010009,0.936419880626085415
,,NY,,40.76800038398012,-73.94506613261223,,Roosevelt Island Operating Corporation (on behalf of New York State),public,6000010010,2.004866161619714239
760 WOODWARD AVENUE,,NY,11385,40.703976144004194,-73.9048979345464,,New York City Transit (MTA),public,4034700026,0.157024793388708000
150123 POWELLS COVE BLVD,,NY,0,40.79714144993519,-73.81373266904859,,New York City Department of Small Business Services,public,4044870131,1.515151515154200000
WOODWARD AVENUE,,NY,11385,40.704171958170726,-73.9041094335192,,New York City Transit (MTA),public,4034800002,0.0
MADISON STREET,,NY,11385,40.70441945874075,-73.90308090099376,,New York City Transit (MTA),public,4034810020,0.0
PALMETTO STREET,,NY,11385,40.70371516868521,-73.90598857387252,,New York City Transit (MTA),public,4034690006,0.0
FOREST AVENUE,,NY,11385,40.70486250923436,-73.90127904723333,,New York City Transit (MTA),public,4035020006,0.236799816345690500
60 PLACE,,NY,11385,40.70513678005836,-73.9001683589997,,New York City Transit (MTA),public,4035100021,0.172359963269359600
60 LANE,,NY,11385,40.705372824925355,-73.8992127760847,,New York City Transit (MTA),public,4035110052,0.172474747475053100
1684 RICHMOND TERRACE,,NY,10310,40.63832908206793,-74.12193853260804,,New York City Department of Parks and Recreation,public,5001880033,0.918273645548000000
97 AVENUE,,NY,11416,40.68621701999776,-73.84278453431868,,New York City Department of Citywide Administrative Services,public,4090750012,0.0
99 STREET,,NY,11417,40.68226375382234,-73.84083985992925,,New York City Department of Citywide Administrative Services,public,4091220080,0.0
POWER ROAD,,NY,11416,40.68431636262782,-73.84183003091557,,New York City Department of Citywide Administrative Services,public,4091060070,0.964876033059561000
1 BAY STREET LANDING,,NY,10301,40.64001799749336,-74.0716444867198,,New York City Department of Citywide Administrative Services,public,5000010200,7.998989899004073200
EAST 132 STREET,,NY,10454,40.80594931201964,-73.92740349257454,,New York City Department of Transportation,public,2022950049,0.178374655647699000
103 WEST 82 STREET,,NY,10024,40.78416337501534,-73.97437436513057,,103-105 WEST 82ND ST,private,1012130128,0.029453627180952100
POWER ROAD,,NY,11417,40.680571093971956,-73.84002600204172,,New York City Department of Citywide Administrative Services,public,4091710059,0.486225895317666000
101 STREET,,NY,0,40.696665014319805,-73.84799538700966,,New York City Department of Citywide Administrative Services,public,4091770070,0.0
1337 JEROME AVENUE,,NY,10452,40.838944500966676,-73.91906247363643,,New York City Department of Citywide Administrative Services,public,2028560051,0.149586776859769200
146-39 105 AVENUE,,NY,11435,40.69511086515338,-73.80448937416077,,New York City Department of Health,public,4100550028,0.057460973370166100
140 WEST 20 STREET,,NY,10011,40.74159310418311,-73.99605825452292,,New York City Department of Housing Preservation and Development,public,1007950066,0.230234159780022300
,,NY,,40.676127496943806,-74.01027846229566,Farm,New York City Housing Authority (NYCHA),public,6000030010,0.917280073463517064
136 WYTHE AVENUE,,NY,11249,40.72046066537374,-73.95978599714344,,136 WYTHE AVENUE LLC,private,3023090023,0.057392102846750000
213 DUFFIELD STREET,,NY,11201,40.69170705189502,-73.98405089254612,,New York City Department of Housing Preservation and Development,public,3001460018,0.378787878788550000
87 STREET,,NY,11417,40.674674219796124,-73.84962761773681,community green space,ARGYROPOULOS ANDREAS,private,4113490028,0.043617998163530000
FRESH POND ROAD,,NY,11385,40.70573449065879,-73.89773563104163,,66 86 REALTY CORP,private,4035310046,0.249770431589056000
800 VAN SINDEREN AVENUE,,NY,11207,40.65646951181436,-73.89956144021352,,New York City Human Resources Administration,public,3038710050,0.768342516071150300
441 SHEFFIELD AVENUE,,,11207,40.66601652047768,-73.89508640001056,,New York City Administration of Children's Services,public,,0.143065886134321465
103 EAST 122 STREET,,,10035,40.80309708558282,-73.93991589795753,community garden,New York City Department of Housing Preservation and Development,public,,0.108570477502488071
        50 AVENUE,,,11101,40.73942505247414,-73.94475281238554,,New York City Transit (MTA),public,,0.867035353536889922
164 PITKIN AVENUE,,,11212,40.6717091310706,-73.90467777004758,,New York City Housing Authority (NYCHA),public,,0.111478650137938587
486 LIBERTY AVENUE,,NY,11207,40.67483403060104,-73.89206646890676,generic use: not vacant,PEOPLES FIRST BAPTIST,private,3037080015,0.229568411387000000
