address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
143 STOCKHOLM STREET,,NY,11221,40.6989801397,-73.9236489627,,New York City Police Department,public,3032450039,0.114784205693500000
1764 EAST NEW YORK AVENUE,,NY,11207,40.6753025766,-73.9032201373,,New York City Economic Development Corporation,public,3036800129,0.041758494031295300
37 TAPSCOTT STREET,,NY,11212,40.6668449185,-73.9204595758,,New York City Housing Authority (NYCHA),public,3035110013,0.229568411387000000
198 TAPSCOTT STREET,,NY,11212,40.663117254,-73.9200927614,,New York City Housing Authority (NYCHA),public,3035490043,0.056244260789815000
        LINDEN BOULEVARD,,NY,11212,40.6546276452,-73.920092118,,New York City Department of Citywide Administrative Services,public,3046880031,0.005601469237842800
        NEW LOTS AVENUE,,NY,11208,40.6665099003382,-73.8819299401374,,New York City Department of Business,public,3043130006,0.249311294766282000
        BERRIMAN STREET,,NY,11208,40.6715796974856,-73.8794660157036,,New York City Police Department,public,3040530024,0.036730945821920000
        53 STREET,,NY,11204,40.6224020041,-73.9777200267,,New York City Department of Education,public,3054951124,0.183953168044403100
        21 AVENUE,,NY,0,40.6220465246,-73.9777194098,,New York City Department of Education,public,3054951149,0.497474747475629000
        WHITMAN DRIVE,,NY,11234,40.6113530376,-73.903463051,,New York City Department of Environmental Protection,public,3086160001,0.026400367309505000
        SCHENECTADY AVENUE,,NY,11234,40.6217490659,-73.9304302417,,New York City Department of Citywide Administrative Services,public,3078440072,0.043319559228726900
        AVENUE T,,NY,11234,40.6239533783,-73.9056045172,,New York City Department of Transportation,public,3084160062,0.279660238751643400
2 2 AVENUE,,NY,11215,40.675575833,-73.9921408139,community green space,New York City Department of Sanitation,public,3009770003,1.467033976127484800
        AVENUE T,,NY,11234,40.6241607585,-73.9056902995,,New York City Department of Transportation,public,3084160063,0.049173553719095400
120 JEFFERSON STREET,,NY,11206,40.6995197737,-73.930605143,community green space,New York City Department of Parks and Recreation,public,3031720012,0.114784205693500000
        MORGAN AVENUE,,NY,11237,40.7087071739,-73.9319516803,,New York City Transit (MTA),public,3029740200,0.130853994490590000
        20 AVENUE,,NY,0,40.622261175,-73.9784143696,,New York City Department of Education,public,3054951100,0.400482093664621500
HARLEM RIVER DRIVE,,NY,10039,40.8234259589,-73.9342510479,,New York City Department of Small Business Services,public,1020160065,1.056014692380200000
        SUNRISE HIGHWAY,,NY,11414,40.6720759209209,-73.8543003070459,,New York City Department of Transportation,public,4113610062,0.0
        20 AVENUE,,NY,0,40.6224027409,-73.9788256892,,New York City Department of Education,public,3054950234,0.155647382920386000
207 4 AVENUE,,NY,11217,40.677578720206355,-73.98265779018402,community green space,New York City Department of Environmental Protection,public,3009520003,0.412304866851052000
        NORTH CONDUIT AVENUE,,NY,0,40.6738672030759,-73.8587032967006,,New York City Department of Transportation,public,4113390025,0.0
        12 STREET,,NY,11215,40.67197223839999,-73.9972273727,,New York City Department of Small Business Services,public,3010070269,0.688475665749613000
        8 AVENUE,,NY,11228,40.628625639499994,-74.0168739522,,New York City Department of Citywide Administrative Services,public,3059120100,0.033930211202998600
1353 37 STREET,,NY,11218,40.6410757914,-73.9836159436,,New York City Transit (MTA),public,3053010035,0.129247015610881000
381 HOPKINSON AVENUE,,NY,11233,40.6713262,-73.9141693,,New York City Police Department,public,3014690004,0.040495867768666800
HARLEM RIVER DRIVE,,NY,10039,40.8241115084,-73.9342716332,,New York City Department of Small Business Services,public,1020160110,0.319329660239317000
